Product|PricePerPound|Quant|PricePerThing
S & W Beets, Sliced, Premium|None|15 ounces|2.34
CoolHaus Ice Cream, Awesome, Bananas Foster|None|1 pint|6.12
CoolHaus Ice Cream, Awesome, Chocolate Molten Cake|None|1 pint|6.12
Seitenbacher Cereal, Musli No. 7, Gluten Free, Strawberries + Almonds|None|13.2 ounces|8.17
Sweet Home Farm Granola, French Vanilla Flavored, with Almonds|None|20.5 ounces|8.17
Pick A Flavor Salt, Popcorn, White Flour|None|4.5 ounces|1.73
La Preferida Pigeon Peas, Imported Green|None|15 ounces|1.83
Mezzetta Tomatoes, Dried, Sun-Ripened|None|8 ounces|6.33
Supremo Cheese, Shredded, Mexican 3 Cheese Blend, No Picante|None|7.06 ounces|3.88
Barritts Ginger Beer, Bermuda Stone|None|12 ounces|1.97
Uptons Naturals Seitan, Bacon, in Strips|None|5 ounces|3.98
Cedars Hommus, Chipotle|None|8 ounces|2.85
Cedars Hommus, Avocado|None|8 ounces|2.85
Cafe Complements Coffee Creamer, Hazelnut|None|32 ounces|3.57
Cheetos Flamin' Hot Cheese Flavored Snacks, Crunchy|None|2 ounces|0.71
Doritos Tortilla Chips, Nacho Cheese Flavored|None|1.75 ounces|0.71
Luigi Vitelli Bow Ties, 115|None|16 ounces|0.91
C&W Pepper Strips|None|None|3.36
Birds Eye C&W The Ultimate Stir Fry|None|14 ounces|3.57
LACROIX Sparkling Water, Natural Pure|None|None|5.82
Spice Supreme Parsley Flakes|None|0.31 ounces|1.01
Supreme Choice Scallops, Bay|None|16 ounces|8.17
Village Batch Olive Oil, Organic, Extra Virgin, Raw|None|16.9 ounces|10.21
Village Batch Organic Manaki Olive Oil|None|None|17.99
Organic Daikon|None|None|1.99
Boar's Head Roast Beef Seasoned Filet Well Done|11.75|None|None
Lemongrass|1.99|None|None
Follow Your Heart Original Vegenaise|None|16 ounces|6.12
La Preferida Cream of Coconut|None|15 ounces|2.65
Brownberry Whole Grains Double Fiber Bread|None|None|3.89
Bob's Red Mill Natural Raw Whole Flaxseed|None|24 ounces|4.08
Wasa Sesame Crispbread|None|7 ounces|3.06
La Preferida Soup, Black Bean, Cuban Style|None|15 ounces|1.63
Jet Puffed Marshmallows|None|16 ounces|3.57
Chobani Nonfat Greek Plain Yogurt|None|32 ounces|7.15
Honest Herbal Tea, Black Forest Berry|None|16 ounces|2.08
Boars Head Cheese, Creamy Feta|None|8 ounces|4.08
Kerrygold Swiss Cheese|None|7 ounces|4.69
Muir Glen Organic Tomatoes, Diced|None|14.5 ounces|2.34
Chobani Strawberry Blended Nonfat Greek Yogurt|None|32 ounces|7.15
Ghirardelli Baking Chips, Premium, Milk Chocolate|None|11.5 ounces|5.72
Ghirardelli Semi-Sweet Chocolate Chip Baking Chips|None|12 ounces|5.72
Chicago Flats Flatbread, Gourmet, Sea Salt|None|8 ounces|3.06
La Preferida Refried Beans|None|16 ounces|1.63
Ritter Sport Milk Chocolate, Alpine, 30% Cocoa|None|3.5 ounces|4.06
Maple Grove Farms Waffle Mix, Belgian|None|24 ounces|4.08
Honest White Tea, Mango|None|16 ounces|1.93
Alo Alure Drink, Aloe Vera + Mangosteen + Mango|None|16.9 ounces|2.03
Alo Aloe Vera Pulp & Juice, Pomegranate + Cranberry|None|16.9 ounces|2.03
Thai Kitchen Asian Creations Stir-Fry Rice Noodles, Brown Rice Noodles|None|4|3.57
Amore Tomato Paste|None|4.5 ounces|3.57
Tillen Farms Cherries, Merry Maraschino, Stem-On|None|13.5 ounces|7.15
Chocolove Dark Chocolate, Extra Strong, 77% Cocoa Content|None|3.2 ounces|3.39
So Delicious Unsweetened Coconut Milk|None|0.5 gallons|4.08
Ancient Harvest Shells, Gluten-Free, Organic Corn & Quinoa Blend|None|8 ounces|3.57
Marzetti Croutons, Flavored Large Cut, Garlic & Butter|None|5 ounces|2.03
Marzetti Baked Croutons Fat Free Garlic & Onion|None|None|2.03
Red Apple Cheese Cheese, Cheddar, Apple Smoked|None|8 ounces|4.69
Lightlife Smart Dogs Veggie Hot Dogs, Meatless, Jumbo|None|5|5.41
Bahlsen Choco Leibniz Cookies, Crispy, Dark|None|4.4 ounces|3.67
Chicago Flats Flatbread, Artisan, Rosemary & Sea Salt|None|8 ounces|3.06
Applegate Naturals Ham, Slow Cooked, Uncured|None|7 ounces|6.02
Chocolove Milk Chocolate, Toffee & Almonds|None|3.2 ounces|3.39
Chocolove Milk Chocolate, Hazelnuts, 33%|None|3.2 ounces|3.39
So Delicious Creamer, Coconut Milk, Hazelnut|None|1 pint|2.85
Barilla Ditalini, N.45|None|1 pound|2.03
Barilla Linguine, No. 13|None|1 pound|2.03
Daisy Sour Cream|None|24 ounces|4.08
Imperial Vegetable Oil Spread, 53%|None|16 ounces|1.52
Barilla Sauce, Tuscan Herb|None|24 ounces|3.06
Barrys Tea Tea Bags, Irish Breakfast|None|40|4.08
Sushi Chef Soup, White Miso, Japanese Style|None|0.5 ounces|1.42
Sushi Chef Soup, Red Miso|None|0.53 ounces|1.52
Ancient Harvest Rotini, Gluten-Free, Organic Supergrain Pasta, Corn & Quinoa|None|8 ounces|3.57
Toll House Morsels, Original Semi-Sweet|None|12 ounces|5.10
Natures Path Organic Waffles, Buckwheat, Wildberry|None|7.4 ounces|3.88
Cento Bread Crumbs, Plain|None|15 ounces|2.03
Barbaras Puffins Cereal, Original|None|10 ounces|5.61
Mezzetta Peperoncini, Golden Greek|None|16 ounces|3.57
Mezzetta Bell Peppers, Roasted|None|16 ounces|5.00
Muir Glen Organic Pasta Sauce, Portabella Mushroom|None|25.5 ounces|4.69
Udis Bagels, Cinnamon Raisin|None|14 ounces|6.12
Ritter Sport Milk Chocolate, with Whole Almonds|None|3.5 ounces|4.06
Cedars Premium Select Lemon Hommus|None|None|2.85
Bobs Red Mill Potato Starch, Unmodified|None|24 ounces|4.79
Maple Grove Farms Pancake & Waffle Mix, Sugar Free|None|8.5 ounces|4.08
Udis Gluten Free Whole Grain Bread|None|12 ounces|6.43
Sara Lee Bread, Old Fashioned|None|20 ounces|3.06
San Pellegrino Sparkling Beverage, Clementina|None|6|6.38
Nasoya Won Ton Wraps|None|12 ounces|2.85
Organic Valley Finely Shredded Mild Cheddar Cheese|None|6 ounces|4.29
Udis Gluten Free Cinnamon Raisin Bread|None|12 ounces|6.12
Stonyfield Farm Organic Yogurt, Lowfat, Organic, Smooth & Creamy, French Vanilla|None|32 ounces|5.00
Traditional Medicinals Laxative Tea, Senna Stimulant, Smooth Move, Peppermint, Wrapped Tea Bags|None|16|5.10
Newmans Own Lemonade & Iced Tea, Half & Half|None|59 ounces|2.99
Athenos Crumbled Cheese, Feta, Traditional|None|4 ounces|3.06
Cascadian Farm Organic Dark Chocolate Almond Granola|None|13.25 ounces|5.41
Udis Gluten Free Soft & Delicious White Sandwich Bread|None|12 ounces|6.43
San Pellegrino Sparkling Beverage, Lemon - 6 Pack|None|None|6.38
Athenos Cheese Chunk, Feta, Traditional|None|8 ounces|5.51
Barrys Tea Tea, Gold Blend, Bags|None|40|4.08
Carrs Crackers, Poppy & Sesame|None|6.5 ounces|4.08
Naked 100% Juice, Fruit & Veggie, Kale Blazer|None|15.2 ounces|3.67
Babybel Semisoft Cheeses, Light, Mini|None|6|4.08
Gia Russa Pasta Sauce, Select, Alla Vodka|None|24 ounces|6.64
Gia Russa Pasta Sauce, Select, Tomato Basil|None|24 ounces|6.64
Gia Russa Pasta Sauce, Select, Marinara|None|24 ounces|6.64
Naked Protein Smoothie, Protein & Greens|None|15.2 ounces|4.08
Tostitos Hint of Lime Tortilla Chips|None|13 ounces|4.39
Tostitos Crispy Rounds Tortilla Chips|None|13 ounces|4.39
Kraft Jet-Puffed Marshmallows, Miniature|None|16 ounces|3.57
Food For Life Ezekiel 4:9 Cereal, Crunchy, Sprouted Grain, Original|None|16 ounces|8.48
Knorr Bouillon, Chicken Flavor, Cubes|None|6|1.32
Udis Bread, Millet-Chia|None|14.3 ounces|6.12
The Laughing Cow Spreadable Cheese Wedges, Creamy Swiss, Light|None|8|4.08
Udis Bread, Gluten Free, Omega Flax & Fiber|None|14.3 ounces|6.12
Ritter Sport Milk Chocolate, with Butter Biscuit, Knick-Pack|None|3.5 ounces|4.06
Perfect Pasta Cheese Ravioli|None|None|5.10
Alouette Cheese, Crumbled, Blue|None|4 ounces|3.67
Cedar's Hommus Artichoke Kalamata|None|None|2.85
Vans Pancakes, Buttermilk|None|8|3.88
Rumford Baking Powder, Aluminum-Free|None|8.1 ounces|3.57
Lifeway Kefir Cultured Milk Smoothie, Lowfat, Mango|None|32 ounces|4.08
Alouette Cheese, Crumbled, Feta|None|4 ounces|3.06
LavAzza Coffee, Ground, Medium, Caffe Espresso, Cafe Moulu|None|8 ounces|9.19
Snyders Pretzels, Rods|None|12 ounces|3.69
Bigelow Constant Comment Tea, Flavored with Rind of Oranges and Sweet Spice|None|20|3.57
Applegate Naturals Ham, Black Forest, Uncured|None|7 ounces|6.02
Lactaid Milk, 2% Reduced Fat, 100% Lactose Free, 2% Milkfat|None|0.5 gallons|5.59
Foco Coconut Juice|None|17.6 ounces|1.32
Applegate Naturals Ham, Honey, Uncured|None|7 ounces|6.02
GTs Enlightened Synergy Kombucha, Organic, Strawberry Serenity|None|16.2 ounces|3.88
Natures Path Envirokidz Cereal, Organic, Panda Puffs, Peanut Butter|None|10.6 ounces|5.61
Natures Path Organic Envirokidz Cereal, Leapin' Lemurs, Peanut Butter & Chocolate|None|10 ounces|5.61
Dianas Bananas Banana Babies, Milk Chocolate|None|5|5.10
Dianas Bananas Banana Babies, Dark Chocolate|None|10.5 ounces|5.10
Natures Path Envirokidz Cereal, Organic, Koala Crisp, Chocolate|None|11.5 ounces|5.61
Haagen Dazs Ice Cream, Coffee|None|14 ounces|5.10
Briannas Dressing, Creamy Blue Cheese, Home Style|None|12 ounces|4.09
Bragg Liquid Aminos|None|16 ounces|5.61
Bobs Red Mill Corn Flour, Golden, Masa Harina|None|24 ounces|4.08
Amys Light & Lean Lasagna, Spinach|None|8 ounces|5.51
Lightlife Gimme Lean Veggie Protein, Ground Beef Style|None|14 ounces|5.41
Amys Whole Meals Enchilada Dinner, with Spanish Rice & Beans|None|10 ounces|6.12
De Cecco Pappardelle, Shape No. 101|None|8.8 ounces|3.98
Amy's Indian Palak Paneer|None|10 ounces|6.12
Haagen Dazs Ice Cream, Chocolate Peanut Butter|None|14 ounces|5.10
Newmans Own Limeade, Virgin, Old Fashioned Roadside|None|59 ounces|2.99
Cabot Legacy Collection Cheese, White Oak Cheddar|None|6 ounces|2.96
Maya Kaimal Kashmiri Curry Mild Indian Simmer Sauce|None|12.5 ounces|6.12
Amy's Breakfast Burrito|None|6 ounces|3.06
Ritter Sport White Chocolate, with Whole Hazelnuts|None|3.5 ounces|4.06
Amy's Especial Burrito|None|6 ounces|3.06
Pom Wonderful 100% Juice, Pomegranate|None|24 ounces|4.80
Boars Head Deli Dressing|None|8.5 ounces|4.08
Louisiana Fish Fry Products Fish Fry|None|10 ounces|1.93
Tasty Bite Spinach Dal|None|10 ounces|4.08
Louisiana Fish Fry Products Fish Fry, Seasoned, Crispy|None|10 ounces|1.93
Florida's Natural Premium Most Pulp Orange Juice|None|59 ounces|5.10
Funyuns Onion Flavored Rings|None|6 ounces|3.57
GT'S Organic Hibiscus Ginger Kombucha|None|None|3.88
Lactaid Milk, Whole|None|0.5 gallons|5.59
Bigelow Black Tea, English Breakfast, Bags|None|20|3.57
Muir Glen Organic Tomatoes, with Basil, Crushed|None|28 ounces|3.57
Peanut Butter & Co Peanut Butter, Mighty Maple|None|16 ounces|6.12
Lays Kettle Cooked Potato Chips, Mesquite BBQ Flavored|None|8 ounces|3.57
Tasty Bite Punjab Eggplant|None|10 ounces|3.57
Amy's Rice Mac & Cheese|None|9 ounces|4.59
Siggi's 0% Milkfat Blueberry Yogurt|None|5.3 ounces|1.83
Barilla Multigrain Pasta, Penne, ProteinPlus|None|14.5 ounces|3.06
Siggi's 2% Milkfat Coconut Yogurt|None|5.3 ounces|1.83
Siggi's 0% Milkfat Strawberry Yogurt|None|5.3 ounces|1.83
Genova Tuna, Tonno, Solid Light, Premium Yellowfin, in Olive Oil|None|5 ounces|3.59
Bigelow Herbal Tea, Chamomile Mint, Caffeine Free, Bags|None|20|3.57
Go Veggie Cheese Food Alternative, Pasteurized Process, Swiss Style Singles|None|12|3.57
Lay's Potato Chips Salt & Vinegar|None|7.75 ounces|3.36
Bonne Maman Marmalade, Orange|None|13 ounces|5.10
Stonyfield Farm Organic YoBaby Yogurt, Whole Milk, Mango, Banana, 6+ Months|None|24 ounces|5.10
Stonyfield Farm Organic YoBaby Yogurt, Whole Milk, Apple, Blueberry, 6+ Months|None|24 ounces|5.10
Castello Cheese, Danish Blue, Extra Creamy|None|4.4 ounces|4.39
Daisy Cottage Cheese, Small Curd, 2% Milkfat, Low Fat|None|1 pound|3.59
Boars Head Bratwurst, Cooked|None|16 ounces|7.05
Bob's Red Mill Organic Farro|None|24 ounces|5.99
King Arthur Flour Flour, 100% Organic, All-Purpose|None|5 pounds|9.50
Bigelow Sweet Dreams Herbal Tea|None|20|3.57
Haagen-Dazs Vanilla Ice Cream|None|14 ounces|5.10
Alo Exposed Original Aloe Vera + Honey Pulp and Juice|None|16.9 ounces|2.03
House of Tsang Saigon Sizzle Stir-Fry Sauce|None|12 ounces|4.08
House of Tsang Bangkok Peanut Sauce|None|11.5 ounces|4.08
House of Tsang Stir-Fry Sauce, Classic|None|11.5 ounces|4.08
Amy's Gluten Free Indian Aloo Mattar Wrap|None|5.5 ounces|3.57
Wasa Crispbread, Whole Grain, Sourdough|None|9.7 ounces|3.06
Gia Russa Gnocchi, Whole Wheat, with Sweet Potato|None|16 ounces|3.36
The Laughing Cow Spreadable Cheese Wedges, Creamy Swiss, Garlic & Herb|None|8|4.08
Bonne Maman Preserves, Fig|None|13 ounces|5.10
Fiorucci Genoa Salami with Wine|None|None|3.77
BelGioioso Mozzarella, Fresh|None|16 ounces|6.64
McCanns Oatmeal, Irish, Instant, Variety Pack|None|10|5.82
McCann's Quick Cooking Rolled Oats Irish Oatmeal|None|16 ounces|6.02
King Arthur Flour Flour, Bread, Unbleached|None|5 pounds|7.15
Frontera Salsa, Chipotle Roasted Tomatillo + Garlic, Hot|None|16 ounces|4.08
Wolfgang Puck Soup, Organic, Old Fashioned Potato|None|14.5 ounces|3.57
Naked Strawberry Banana Juice Smoothie|None|15.2 ounces|4.08
Frontera Salsa, Gourmet Mexican, Roasted Tomato, Mild|None|16 ounces|4.08
Frontera Salsa, Jalapeno Cilantro, Medium|None|16 ounces|4.08
Perugina Dark Chocolate, with Almonds|None|3.5 ounces|3.06
Perugina Milk Chocolate|None|3.5 ounces|3.06
Carrs Crackers, Rosemary|None|5 ounces|4.08
Ritter Sport Milk Chocolate, with Raisins & Hazelnuts|None|3.5 ounces|4.06
Barilla Sauce, Roasted Garlic|None|24 ounces|3.06
Daiya Cheddar Style Slices|None|7.8 ounces|5.51
Near East Rice Pilaf Mix, Toasted Almond|None|6.6 ounces|3.06
Go Veggie Cheese Food Alternative, Pasteurized Process, Mozzarella Style Shreds|None|7 ounces|4.28
Green Valley Organics Yogurt, Lactose Free, Lowfat, Organic, Vanilla|None|6 ounces|2.03
McCanns Oatmeal, Irish, Steel Cut, Quick & Easy|None|24 ounces|8.17
Botan Rice, Calrose|None|5 pounds|7.45
Applegate Naturals Breakfast Sausage, Chicken & Apple|None|10|6.12
Applegate Naturals Breakfast Sausage, Chicken & Maple|None|7 ounces|6.12
Haagen Dazs Ice Cream, Vanilla Swiss Almond|None|14 ounces|5.10
Golden Curry Sauce Mix, Golden Curry, Medium Hot|None|3.5 ounces|3.57
BelGioioso Cheese, Sharp Provolone|None|8 ounces|4.69
Pom Wonderful 100% Juice, Pomegranate Blueberry|None|16 ounces|4.80
Traditional Medicinals Caffeine Free Organic Echinacea Plus Herbal Tea|None|16|5.10
Cabot Cheese, Monterey Jack|None|8 ounces|2.96
Briannas Dressing, Home Style, Dijon Honey Mustard|None|12 ounces|4.09
Izze Juice, Sparkling, Grapefruit|None|4|5.72
Izze Juice Beverage Blend, Sparkling Pomegranate|None|4|5.72
Izze Juice Beverage Blend, Sparkling Apple|None|4|5.72
Amy's Light in Sodium Organic Medium Chili|None|14.7 ounces|4.08
BelGioioso Cheese, Asiago|None|8 ounces|5.10
Traditional Medicinals EveryDay Detox Herbal Tea|None|16|5.10
Frontera Salsa, Mexicana, Red Tomato, Med|None|16 ounces|4.08
SkinnyPop Popcorn|None|6|6.12
Organic Valley Cheese, Finely Shredded, Mexican Blend|None|6 ounces|4.29
AllWhites Egg Whites, 100% Liquid|None|16 ounces|4.08
Dannon All Natural Yogurt, Lowfat, Plain|None|5.3 ounces|1.01
Skinny Pop Popcorn|None|4.4 ounces|3.88
Bigelow Herbal Tea, Pomegranate Pizzazz, Caffeine Free, Bags|None|20|3.57
Bahlsen Wafer Rolls, Milk Chocolate|None|3.5 ounces|3.06
Dynasty Mustard, Chinese-Style, Extra Hot|None|4 ounces|1.73
Ka Me Oyster Sauce|None|7.1 ounces|3.36
El Milagro Blancas Tortillas, Corn, Family Pack|None|3|1.52
Lawrys Spices & Seasonings, Sloppy Joes|None|1.5 ounces|1.52
Earth Balance Buttery Sticks, Vegan|None|4|5.20
Earth Balance Buttery Spread, Whipped, Organic|None|13 ounces|5.10
Earth Balance Original Buttery Spread|None|15 ounces|5.10
Vigo Red Beans & Rice|None|8 ounces|2.65
Vigo Black Beans & Rice, Authentic|None|8 ounces|2.65
Cedars Wraps, Whole Wheat|None|10 ounces|2.03
Cholula Hot Sauce, Chipotle|None|5 fluid ounces|3.67
Briannas Dressing, Home Style, Asiago Caesar|None|12 ounces|4.09
Barilla Sauce, Flavored with Meat|None|24 ounces|3.06
Briannas Home Style Dressing, Ginger Mandarin, Saucy|None|12 ounces|4.09
BelGioioso Cheese, Freshly Shredded, Four Cheeses|None|5 ounces|3.36
Briannas Dressing, Classic Buttermilk Ranch, Home Style|None|12 ounces|4.09
Lindt Excellence Dark Chocolate, Supreme Dark, 90% Cocoa|None|3.5 ounces|3.06
GTs Enlightened Synergy Kombucha, Organic, Gingerberry|None|16.2 ounces|3.88
Fage Total Nonfat Strained Greek Yogurt with Peach|None|5.3 ounces|1.73
Alessi Tomatoes, Sun Dried, in Extra Virgin Olive Oil|None|7 ounces|6.12
Frontera Indigo Bluecorn Tortilla Chips|None|10 ounces|3.36
Kitchen Basics Stock, for Cooking, Original Beef|None|32 ounces|3.36
Twinings Black Tea, Lady Grey, Bags|None|1.41 ounces|3.57
Boars Head Mustard, Delicatessen Style, White Wine & Horseradish|None|9.5 ounces|4.08
Twinings Classics Black Tea, Variety Pack, Bags|None|1.06 ounces|3.57
Twinings Black Tea, Darjeeling, Bags|None|20|3.57
Cabot Cheese, Premium Natural, Pepper Jack|None|8 ounces|2.96
Frontera Lime & Sea Salt Tortilla Chips|None|None|3.36
Twinings Black Tea, 100% Pure, Irish Breakfast, Tea Bags|None|20|3.57
International Delight Coffee Creamer, Gourmet, Irish Creme|None|16 ounces|3.06
Cabot Cheese, Cheddar, Pasteurized Process, Horseradish|None|8 ounces|2.96
Fage Total Low Fat Strained Greek Yogurt with Strawberry|None|5.3 ounces|1.73
Twinings Origins Tea, China Oolong, Bags|None|20|3.57
Cabot Cheese, New York Extra Sharp, Cheddar|None|8 ounces|2.96
Ritter Sport Milk Chocolate, with Expresso|None|3.5 ounces|4.06
Boars Head Soppressata|None|9 ounces|6.74
Mizkan Nakano Seasoned Rice Vinegar, Original|None|12 ounces|3.06
Frontera Thin & Crispy Tortilla Chip|None|10 ounces|3.36
Ka Me Rick Sticks, Vermicelli|None|8 ounces|3.47
Turano Bread, Italian, Old Fashioned|None|16 ounces|3.88
Harvest Snaps Crisps, Green Pea, Caesar, Snapea Crisps, Gluten Free, Pouch - 3.3 Ounces|None|3.3 ounces|2.03
Barilla Elbows, n.41|None|1 pound|2.03
Ghirardelli Baking Cocoa, Premium, 100% Unsweetened|None|8 ounces|6.33
Tumaros Low-In-Carb Wraps, Multi-Grain|None|8|4.08
Sushi Chef Sake, Sweetened, Mirin|None|10 ounces|5.10
Tumaros Low-In-Carb Wraps, Premium White|None|8|4.08
Cabot Cheese, Vermont Sharp|None|8 ounces|2.96
Daiya Cream Cheese Style Spread, Plain|None|8 ounces|5.51
Amys Soup, Organic, Fire Roasted Southwestern Vegetable|None|14.3 ounces|4.39
Greek Gods Yogurt, Greek, Nonfat|None|24 ounces|4.69
Boars Head Panino, Prosciutto|None|8 ounces|5.92
Amys Soup, Organic, Lentil Vegetable|None|14.5 ounces|3.57
Amys Organic Soups, Hearty, Spanish Rice & Red Bean|None|14.7 ounces|4.08
Cabot Cheese, Seriously Sharp Cheddar|None|8 ounces|2.96
Amys Soup, Low Fat, Organic, Split Pea|None|14.1 ounces|3.57
Amys Soup, Low Fat, Organic, Vegetable Barley|None|14.1 ounces|3.57
Cabot Cheese, Vermont Extra Sharp|None|8 ounces|2.96
Albanese Mini Assorted Gummi Fruit Worms|None|None|3.49
Better than Bouillon Premium Roasted Chicken Base|None|8 ounces|5.10
Lifeway Kefir Cultured Milk Smoothie, Lowfat, Blueberry|None|32 ounces|4.08
Hero Nectar, Peach|None|33.8 ounces|5.50
Amys Soup, Organic, Alphabet, Fat Free|None|14.1 ounces|3.57
Muir Glen Organic Tomato Puree|None|28 ounces|3.57
Wasa Light Rye Crispbread|None|9.5 ounces|3.06
Tofurky Deli Slices, Oven Roasted|None|5.5 ounces|3.29
Smart Puffs Pirate's Booty Rice and Corn Puffs, Baked, Veggie|None|4 ounces|3.36
Applegate Naturals Chicken Breast, Oven Roasted|None|7 ounces|6.02
Mestemacher Natural Fitness Bread|None|17.6 ounces|4.08
Lays Oven Baked Potato Crisps, Barbecue Flavored|None|6.25 ounces|3.36
International Delight Coffee Creamer, Gourmet, French Vanilla|None|16 ounces|3.06
Egg Lands Best Eggs, Hard-Cooked Peeled, Medium|None|10|4.59
Bobs Red Mill Coconut, Flaked, Unsweetened, Unsulfured|None|12 ounces|5.10
Silk Creamer, Hazelnut|None|1 pint|2.24
Bahlsen Wafer Crisps, Afrika, Dark Chocolate|None|4.6 ounces|4.08
San J Tamari, Gluten Free|None|1.25 pounds|2.65
Activia Yogurt, Lowfat, Mixed Berry - 4 Pack|None|None|3.36
Wholesome Blue Agave, Organic, Raw|None|11.75 ounces|6.12
Haagen Dazs Ice Cream, Chocolate|None|28 ounces|8.17
Manischewitz Egg Noodles, Wide|None|12 ounces|2.55
Activia Yogurt, Lowfat, Vanilla|None|4|3.36
Tostitos Dip, Creamy Spinach|None|15 ounces|5.10
Streits Matzos, Unsalted|None|11 ounces|3.57
Streits Matzos, Lightly Salted|None|11 ounces|3.57
Cheetos Baked! Crunchy Cheese Flavored Snacks|None|7.62 ounces|3.36
Annies Organic Dressing, Asian Sesame|None|8 ounces|4.80
Annies Organic Dressing, Papaya Poppy Seed|None|8 ounces|4.80
Amy's Cheese Tamale Verde|None|10.3 ounces|6.12
Alessi Balsamic Vinegar|None|12.75 ounces|4.49
Alessi Vinegar, White Balsamic, Fig Infused|None|8.5 ounces|3.67
Annies Naturals Vinaigrette, Lite, Raspberry|None|8 ounces|4.39
Daves Gourmet Pasta Sauce, Organic, Red Heirloom|None|25.5 ounces|7.15
Rubschlager Bread, European Style Whole Grain|None|1 pound|2.55
Rubschlager Bread, Westphalian Style Pumpernickel|None|1 pound|2.55
Tasty Bite Brown Rice, Organic|None|8.8 ounces|2.55
Light & Fit Nonfat Yogurt, Strawberry|None|32 ounces|4.08
Gardein Home Style Beefless Tips|None|9 ounces|5.41
Cabot Cheese, Aged Cheddar, Seriously Sharp|None|8 ounces|2.96
Wholesome Blue Agave, Organic|None|23.5 ounces|8.99
GT'S Enlightened Synergy Organic Cosmic Cranberry Kombucha|None|16.2 ounces|3.88
Alessi Vinegar, Balsamic, Di Modena|None|8.5 ounces|4.08
Cabot Cheese, Aged Cheddar, Extra Sharp|None|8 ounces|2.96
Haagen Dazs Ice Cream, Dulce De Leche Caramel|None|14 ounces|5.10
Carr's Whole Wheat Crackers|None|7 ounces|4.08
Nature's Promise Organics Whole White Mushrooms|None|None|2.09
Westbrae Natural Organic Lentils|None|15 ounces|3.06
Westbrae Natural Low Sodium Organic Chili Beans|None|15 ounces|2.75
Boars Head Hummus, Roasted Garlic|None|10 ounces|3.06
Boars Head Hummus, Roasted Red Pepper|None|10 ounces|3.06
Lakewood Organic Fresh Pressed Juice, Organic, Pure Cranberry|None|32 ounces|12.26
Lakewood Organic Fresh Pressed Aloe, Pure|None|32 ounces|7.86
Cal-Organic Farms Organic Carrot Chips|None|None|2.49
Organic Valley Butter, Salted|None|1 pound|6.49
Wild Planet Salmon, Wild Sockeye|None|6 ounces|8.07
Wild Planet Tuna, Wild, Albacore|None|5 ounces|5.10
Annies Organic Macaroni & Cheese, Alfredo Shells & Cheddar|None|6 ounces|3.06
Pirates Booty Aged White Cheddar Rice and Corn Puffs|None|4 ounces|3.36
Ritter Sport Dark Chocolate, 50% Cocoa|None|3.5 ounces|4.06
Boars Head Bacon, Fully Cooked|None|2.29 ounces|5.41
Lantana Hummus, Yellow Lentil, Spicy|None|10 ounces|4.28
Rice Select Sushi Rice, American Koshihikari|None|36 ounces|7.15
Lifeway Kefir, Pomegranate|None|32 ounces|4.08
Gotham Greens Gourmet Lettuce Medley|None|4.5 ounces|4.08
Food for Life Ezekiel 4:9 Flax Sprouted Grain Bread|None|24 ounces|5.72
Chobani Nonfat Greek Yogurt with Blueberry on the Bottom|None|5.3 ounces|1.01
Chobani Yogurt, Greek, Non-Fat, with Peach on the Bottom|None|5.3 ounces|1.01
Sara Lee Soft & Smooth Bread, Whole Grain White|None|20 ounces|3.06
Pataks Simmer Sauce, Rogan Josh Curry, Medium|None|15 ounces|4.08
Pataks Original Simmer Sauce, Korma Curry, Mild|None|15 ounces|4.08
El Ranchero Tortilla Chips, Natural|None|14 ounces|3.06
El Ranchero Tortilla Chips, with Salt|None|14 ounces|3.06
El Ranchero Tostadas|None|None|1.32
San Pellegrino Beverage, Sparkling, Blood Orange, Aranciata Rossa|None|11.15 ounces|1.08
San Pellegrino Sparkling Beverage, Aranciata|None|11.15 ounces|1.08
LavAzza Coffee, Ground, Quality Gold|None|8.8 ounces|11.24
Lifeway Smoothie, Kefir, Strawberry|None|8 ounces|1.32
Applegate Naturals Breakfast Sausage, Chicken & Sage|None|7 ounces|6.12
Earthbound Farm Organic Strawberries|None|10 ounces|5.10
Earthbound Farm Organic Peaches, Organic, Sliced|None|10 ounces|5.10
Earthbound Farm Organic Red Raspberries|None|8 ounces|5.10
Cedars Hommus, Artichoke Spinach|None|12 ounces|2.85
Stonyfield Farm Organic YoBaby Yogurt, Whole Milk, Vanilla, 6+ Months|None|6|5.10
Alessi Sea Salt, Fine|None|24 ounces|3.06
Alessi Sea Salt, Kosher, Coarse|None|2.2 pounds|3.26
Jarritos Soda, Pineapple|None|12.5 ounces|1.09
Valentina Mexican Hot Sauce, Salsa Picante, Extra Hot|None|12.5 ounces|1.32
Kind Bar Peanut Butter Dark Chocolate|None|1.4 ounces|2.03
Muir Glen Organic Tomatoes, Whole, Fire Roasted|None|28 ounces|3.57
If You Care Coffee Filters, No. 4 Size|None|100|4.07
Tasty Bite Rice, Jasmine|None|8.8 ounces|4.08
Ito En Oi Ocha Green Tea, Unsweetened|None|16.9 ounces|2.24
Entenmanns Donuts, Frosted Devil's Food|None|8|5.61
Alo Juice, Watermelon + Peach, Comfort|None|16.9 ounces|2.03
Bobs Red Mill Cornbread Mix, Stone Ground|None|24 ounces|3.47
Stacy's Multigrain Pita Chips|None|7.33 ounces|3.47
